time,ens_eco2_ppm
2026-05-25T22:14:45.6050000,448
2026-05-25T22:14:46.6450000,433
2026-05-25T22:14:47.6860000,437
2026-05-25T22:14:48.7380000,433
2026-05-25T22:14:49.7780000,410
2026-05-25T22:14:50.8190000,431
2026-05-25T22:14:51.8600000,422
2026-05-25T22:14:52.9010000,437
2026-05-25T22:14:53.9420000,424
2026-05-25T22:14:54.9930000,430
2026-05-25T22:14:56.0340000,423
2026-05-25T22:14:57.0740000,427
2026-05-25T22:14:58.1150000,428
2026-05-25T22:14:59.1560000,430
2026-05-25T22:15:00.2070000,442
2026-05-25T22:15:01.2480000,439
2026-05-25T22:15:02.2890000,441
2026-05-25T22:15:03.3300000,445
2026-05-25T22:15:04.3700000,446
2026-05-25T22:15:05.4110000,430
2026-05-25T22:15:06.4620000,438
2026-05-25T22:15:07.5030000,429
2026-05-25T22:15:08.5440000,422
2026-05-25T22:15:09.5850000,430
2026-05-25T22:15:10.6260000,434
2026-05-25T22:15:11.6700000,442
2026-05-25T22:15:12.7110000,424
2026-05-25T22:15:13.7520000,435
2026-05-25T22:15:14.8030000,436
2026-05-25T22:15:15.8440000,411
2026-05-25T22:15:16.8840000,419
2026-05-25T22:15:17.9250000,441
2026-05-25T22:15:18.9660000,430
2026-05-25T22:15:20.0170000,435
2026-05-25T22:15:21.0580000,416
2026-05-25T22:15:22.0990000,446
2026-05-25T22:15:23.1400000,433
2026-05-25T22:15:24.1800000,426
2026-05-25T22:15:25.2210000,434
2026-05-25T22:15:26.2720000,423
2026-05-25T22:15:27.3130000,416
2026-05-25T22:15:28.3540000,427
2026-05-25T22:15:29.3950000,425
2026-05-25T22:15:30.4360000,426
2026-05-25T22:15:31.4770000,442
2026-05-25T22:15:32.5280000,436
2026-05-25T22:15:33.5690000,423
2026-05-25T22:15:34.6100000,426
2026-05-25T22:15:35.6500000,436
2026-05-25T22:15:36.6910000,437
2026-05-25T22:15:37.7420000,432
2026-05-25T22:15:38.7830000,437
2026-05-25T22:15:39.8240000,420
2026-05-25T22:15:40.8650000,430
2026-05-25T22:15:41.9060000,424
2026-05-25T22:15:42.9460000,434
2026-05-25T22:15:43.9980000,421
2026-05-25T22:15:45.0380000,443
2026-05-25T22:15:46.0790000,424
2026-05-25T22:15:47.1200000,438
2026-05-25T22:15:48.1600000,412
2026-05-25T22:15:49.2010000,425
2026-05-25T22:15:50.2520000,430
2026-05-25T22:15:51.2930000,423
2026-05-25T22:15:52.3340000,434
2026-05-25T22:15:53.3820000,418
2026-05-25T22:15:54.4230000,413
2026-05-25T22:15:55.4630000,434
2026-05-25T22:15:56.5040000,431
2026-05-25T22:15:57.5450000,426
2026-05-25T22:15:58.5860000,433
2026-05-25T22:15:59.6370000,435
2026-05-25T22:16:00.6780000,430
2026-05-25T22:16:01.7190000,432
2026-05-25T22:16:02.7600000,431
2026-05-25T22:16:03.8010000,431
2026-05-25T22:16:04.8410000,423
2026-05-25T22:16:05.8930000,426
2026-05-25T22:16:06.9340000,429
2026-05-25T22:16:07.9750000,425
2026-05-25T22:16:09.0150000,423
2026-05-25T22:16:10.0560000,424
2026-05-25T22:16:11.0970000,412
2026-05-25T22:16:12.1480000,430
2026-05-25T22:16:13.1880000,418
2026-05-25T22:16:14.2290000,444
2026-05-25T22:16:15.2700000,428
2026-05-25T22:16:16.3110000,427
2026-05-25T22:16:17.3620000,430
2026-05-25T22:16:18.4030000,416
2026-05-25T22:16:19.4440000,427
2026-05-25T22:16:20.4880000,427
2026-05-25T22:16:21.5290000,418
2026-05-25T22:16:22.5690000,430
2026-05-25T22:16:23.6100000,435
2026-05-25T22:16:24.6510000,425
2026-05-25T22:16:25.7020000,422
2026-05-25T22:16:26.7430000,444
2026-05-25T22:16:27.7840000,437
2026-05-25T22:16:28.8250000,429
2026-05-25T22:16:29.8650000,418
